Annual Income Private (min.) /Revenu privé annuel (min.),Annual Income Private (max.) /Revenu privé annuel (max.),GAINS / RRAG,Total OAS/GIS /SV/SRG total,OAS / SV,GIS / SRG,Total Monthly Income (min.) /Revenu mensuel total (min.),Total Monthly Income (max.) /Revenu mensuel total (max.) ,Monthly Income Private (min.) /Revenu privé mensuel (min.),Monthly Income Private (max.) /Revenu privé mensuel (max.)
"4,320.00","4,343.99",0,"1,622.14",784.67,837.47,"1,982.14","1,984.13",360,361.99
"4,344.00","4,351.99",0,"1,621.14",784.67,836.47,"1,983.14","1,983.80",362,362.66
"4,352.00","4,367.99",0,"1,620.14",784.67,835.47,"1,982.81","1,984.13",362.67,363.99
"4,368.00","4,391.99",0,"1,619.14",784.67,834.47,"1,983.14","1,985.13",364,365.99
"4,392.00","4,399.99",0,"1,618.14",784.67,833.47,"1,984.14","1,984.80",366,366.66
"4,400.00","4,415.99",0,"1,617.14",784.67,832.47,"1,983.81","1,985.13",366.67,367.99
"4,416.00","4,439.99",0,"1,616.14",784.67,831.47,"1,984.14","1,986.13",368,369.99
"4,440.00","4,447.99",0,"1,615.14",784.67,830.47,"1,985.14","1,985.80",370,370.66
"4,448.00","4,463.99",0,"1,614.14",784.67,829.47,"1,984.81","1,986.13",370.67,371.99
"4,464.00","4,487.99",0,"1,613.14",784.67,828.47,"1,985.14","1,987.13",372,373.99
"4,488.00","4,495.99",0,"1,612.14",784.67,827.47,"1,986.14","1,986.80",374,374.66
"4,496.00","4,511.99",0,"1,611.14",784.67,826.47,"1,985.81","1,987.13",374.67,375.99
"4,512.00","4,535.99",0,"1,610.14",784.67,825.47,"1,986.14","1,988.13",376,377.99
"4,536.00","4,543.99",0,"1,609.14",784.67,824.47,"1,987.14","1,987.80",378,378.66
"4,544.00","4,559.99",0,"1,608.14",784.67,823.47,"1,986.81","1,988.13",378.67,379.99
"4,560.00","4,583.99",0,"1,607.14",784.67,822.47,"1,987.14","1,989.13",380,381.99
"4,584.00","4,591.99",0,"1,606.14",784.67,821.47,"1,988.14","1,988.80",382,382.66
"4,592.00","4,607.99",0,"1,605.14",784.67,820.47,"1,987.81","1,989.13",382.67,383.99
"4,608.00","4,631.99",0,"1,604.14",784.67,819.47,"1,988.14","1,990.13",384,385.99
"4,632.00","4,639.99",0,"1,603.14",784.67,818.47,"1,989.14","1,989.80",386,386.66
"4,640.00","4,655.99",0,"1,602.14",784.67,817.47,"1,988.81","1,990.13",386.67,387.99
"4,656.00","4,679.99",0,"1,601.14",784.67,816.47,"1,989.14","1,991.13",388,389.99
"4,680.00","4,687.99",0,"1,600.14",784.67,815.47,"1,990.14","1,990.80",390,390.66
"4,688.00","4,703.99",0,"1,599.14",784.67,814.47,"1,989.81","1,991.13",390.67,391.99
"4,704.00","4,727.99",0,"1,598.14",784.67,813.47,"1,990.14","1,992.13",392,393.99
"4,728.00","4,735.99",0,"1,597.14",784.67,812.47,"1,991.14","1,991.80",394,394.66
"4,736.00","4,751.99",0,"1,596.14",784.67,811.47,"1,990.81","1,992.13",394.67,395.99
"4,752.00","4,775.99",0,"1,595.14",784.67,810.47,"1,991.14","1,993.13",396,397.99
"4,776.00","4,783.99",0,"1,594.14",784.67,809.47,"1,992.14","1,992.80",398,398.66
"4,784.00","4,799.99",0,"1,593.14",784.67,808.47,"1,991.81","1,993.13",398.67,399.99
"4,800.00","4,823.99",0,"1,592.14",784.67,807.47,"1,992.14","1,994.13",400,401.99
"4,824.00","4,831.99",0,"1,591.14",784.67,806.47,"1,993.14","1,993.80",402,402.66
"4,832.00","4,847.99",0,"1,590.14",784.67,805.47,"1,992.81","1,994.13",402.67,403.99
"4,848.00","4,871.99",0,"1,589.14",784.67,804.47,"1,993.14","1,995.13",404,405.99
"4,872.00","4,879.99",0,"1,588.14",784.67,803.47,"1,994.14","1,994.80",406,406.66
"4,880.00","4,895.99",0,"1,587.14",784.67,802.47,"1,993.81","1,995.13",406.67,407.99
"4,896.00","4,919.99",0,"1,586.14",784.67,801.47,"1,994.14","1,996.13",408,409.99
"4,920.00","4,927.99",0,"1,585.14",784.67,800.47,"1,995.14","1,995.80",410,410.66
"4,928.00","4,943.99",0,"1,584.14",784.67,799.47,"1,994.81","1,996.13",410.67,411.99
"4,944.00","4,967.99",0,"1,583.14",784.67,798.47,"1,995.14","1,997.13",412,413.99
"4,968.00","4,975.99",0,"1,582.14",784.67,797.47,"1,996.14","1,996.80",414,414.66
"4,976.00","4,991.99",0,"1,581.14",784.67,796.47,"1,995.81","1,997.13",414.67,415.99
"4,992.00","5,015.99",0,"1,580.14",784.67,795.47,"1,996.14","1,998.13",416,417.99
"5,016.00","5,023.99",0,"1,579.14",784.67,794.47,"1,997.14","1,997.80",418,418.66
"5,024.00","5,039.99",0,"1,578.14",784.67,793.47,"1,996.81","1,998.13",418.67,419.99
"5,040.00","5,063.99",0,"1,577.14",784.67,792.47,"1,997.14","1,999.13",420,421.99
